stop_id,stop_name,stop_code,stop_lat,stop_lon,stop_desc
2618,ROUILLON y DR. MARADONA,2618,-32.979696,-60.70057,OCHAVA SE
4714,3 DE FEBRERO y L. N. ALEM,4714,-32.954377,-60.629811,OCHAVA NE
4219,J D PERON (VGG) y SANTIAGO DEL ESTERO (VGG),4219,-33.01073,-60.614917,OCHAVA SE
5929,SCHWEITZER y ALVAREZ CONDARCO,5929,-32.914556,-60.755745,OCHAVA SO
8176,SAN MARTIN y B. JUAREZ,8176,-32.992692,-60.647286,OCHAVA NO
7691,3 DE FEBRERO y AVELLANEDA,7691,-32.945391,-60.680519,OCHAVA NE
4826,3 DE FEBRERO y CAFFERATA,4826,-32.946842,-60.672449,OCHAVA NE
2104,SORRENTO y IGNACIO WARNES,2104,-32.907062,-60.690035,OCHAVA NE
3227,27 DE FEBRERO y PERU,3227,-32.959471,-60.710708,OCHAVA SO
6738,FILIPPINI (VGG) y LEVALLE (VGG),6738,-33.02687,-60.637172,OCHAVA NO
9457,SCHWEITZER y MEJICO,9457,-32.913221653,-60.719481679,OCHAVA NE
3282,3 DE FEBRERO y VALPARAISO,3282,-32.944910182,-60.683288017,OCHAVA NE
6152,HERNANDEZ (Funes) y RODRIGUEZ (Funes),6152,-32.928608,-60.84299,OCHAVA SE
7820,VELEZ SARSFIELD y MAR DEL PLATA,7820,-32.924952,-60.681909,OCHAVA NE
3578,OVIDIO LAGOS y NUEVA C. A SOLDINI,3578,-33.021036,-60.679623,OCHAVA E
4125,VERA MUJICA y CORDOBA,4125,-32.941377,-60.666804,OCHAVA SE
5288,DR. F. RIVA y SAN NICOLAS,5288,-32.977599,-60.681833,OCHAVA SO
5449,G. BROWN y OROÑO,5449,-32.934444,-60.651138,OCHAVA SO
9955,CERRITO y C. ALDAO,9955,-32.952958,-60.695582,OCHAVA SO
4782,CORRIENTES y CERRITO,4782,-32.961304,-60.646187,OCHAVA SE
8631,SAN JUAN y GUTENBERG,8631,-32.941281,-60.688109,OCHAVA NE
2716,OVIDIO LAGOS y GARIBALDI,2716,-32.981951,-60.670915,OCHAVA SE
9544,DONADO y FRENCH,9544,-32.921881,-60.727598,OCHAVA SE
7204,MORROW y CALLE 13120,7204,-32.875067,-60.735564,OCHAVA SE
3407,AVELLANEDA y AURORA,3407,-32.99989,-60.688719,OCHAVA SE
3074,GAMBARTES y TABARE,3074,-32.888038,-60.710428,OCHAVA SE
1783,SARRATEA y ARGENTINO,1783,-32.924632,-60.741056,OCHAVA SE
7810,BUENOS AIRES y GALVEZ,7810,-32.969816,-60.638239,OCHAVA SE
6744,MENDOZA y BUENOS AIRES,6744,-32.952509,-60.634065,OCHAVA SO
8091,BALCARCE y GUEMES,8091,-32.933413,-60.64936,OCHAVA NO
7163,MENDOZA y SANTIAGO,7163,-32.94842,-60.657414,OCHAVA SO
7589,EVA PERON y MANUEL ACEVEDO,7589,-32.926533,-60.749722,OCHAVA NE
4986,3 DE FEBRERO y S. BAYO,4986,-32.944396,-60.686047,OCHAVA NE
9176,J. M. GUTIERREZ y A. ALICE,9176,-32.993394,-60.627015,OCHAVA SO
8412,9 DE JULIO y LAVALLE,8412,-32.946798,-60.679742,OCHAVA SO
9340,J D PERON (VGG) y GRAL. LOPEZ (VGG),9340,-33.016835,-60.616452,OCHAVA NO
3437,SAN MARTIN y CABILDO,3437,-33.007432,-60.650176,OCHAVA SE
7209,D. CRESPO y GALVEZ,7209,-32.963265,-60.673946,OCHAVA NO
7848,PARAGUAY y RIOBAMBA,7848,-32.961933,-60.647971,OCHAVA NO
7576,CORDOBA y OVIDIO LAGOS,7576,-32.942313,-60.661553,OCHAVA SO
8981,3 DE FEBRERO y PTE. ROCA,8981,-32.95147,-60.64662,OCHAVA NE
8924,EVA PERON (Baigorria) y SUIPACHA (Baigorria),8924,-32.858633633,-60.721956024,OCHAVA NE
8698,UGARTECHE y CASACUBERTA,8698,-32.929648,-60.759192,OCHAVA SE
2651,BUENOS AIRES y BATLLE Y ORDOÑEZ,2651,-33.008914,-60.644571,OCHAVA SE
2255,NTRA. SRA. ROSARIO y CONSTITUCION,2255,-33.001128,-60.686465,OCHAVA NE
2595,CERRITO y LIMA,2595,-32.953853,-60.687215,OCHAVA SO
5000,OROÑO y J. CANALS,5000,-32.986572,-60.664302,OCHAVA NO
8471,SERRANO y NTRA. SRA. ROSARIO,8471,-32.999243,-60.631986,OCHAVA NO
9739,CASILDA y IGUAZU,9739,-32.928305,-60.685663,OCHAVA NE
9574,S. DE BUSTAMANTE y CASTRO BARROS,9574,-33.001293,-60.629372,OCHAVA NE
7958,UGARTECHE y O HIGGINS,7958,-32.92684,-60.75946,OCHAVA NO
1206,SAN MARTIN y ARIJON,1206,-33.00293,-60.64949,OCHAVA NO
6165,AMENABAR y BALCARCE,6165,-32.96978,-60.658546,OCHAVA SO
9525,SAN MARTIN y GARIBALDI,9525,-32.986478,-60.645659,OCHAVA SE
6878,RONDEAU y GALICIA,6878,-32.875779,-60.697836,OCHAVA SE
8032,IRIONDO y OCAMPO,8032,-32.960922,-60.674575,OCHAVA SE
2293,J. J. PASO y BOLIVIA,2293,-32.920453,-60.714785,OCHAVA SO
5922,CASIANO CASAS y MILLER,5922,-32.901473,-60.70639,OCHAVA SO
